EventDate,EventName,EventCategory,AccountId,EventCount,UniqueUsers
2026-01-01,create_deal,PIPELINE,account_2,4,1
2026-01-01,create_deal,PIPELINE,account_28,1,1
2026-01-01,create_deal,PIPELINE,account_84,4,1
2026-01-01,create_deal,PIPELINE,,1,1
2026-01-01,enable_automation,AUTOMATION,account_2,3,1
2026-01-01,enable_automation,AUTOMATION,account_28,1,1
2026-01-01,invite_user,OTHER,account_28,1,1
2026-01-01,invite_user,OTHER,account_84,2,1
2026-01-01,log_activity,ACTIVITY,account_2,2,1
2026-01-01,log_activity,ACTIVITY,account_84,6,1
2026-01-01,login,AUTH,account_2,2,1
2026-01-01,login,AUTH,account_84,2,1
2026-01-01,move_deal_stage,PIPELINE,account_2,2,1
2026-01-01,move_deal_stage,PIPELINE,account_28,4,1
2026-01-01,move_deal_stage,PIPELINE,account_84,2,1
2026-01-01,view_dashboard,OTHER,account_84,1,1
2026-01-02,create_deal,PIPELINE,account_30,1,1
2026-01-02,create_deal,PIPELINE,account_77,3,1
2026-01-02,enable_automation,AUTOMATION,account_30,1,1
2026-01-02,enable_automation,AUTOMATION,account_42,1,1
2026-01-02,enable_automation,AUTOMATION,account_77,1,1
2026-01-02,enable_automation,AUTOMATION,account_88,1,1
2026-01-02,invite_user,OTHER,account_77,3,1
2026-01-02,invite_user,OTHER,account_88,1,1
2026-01-02,log_activity,ACTIVITY,account_30,1,1
2026-01-02,log_activity,ACTIVITY,account_77,2,1
2026-01-02,log_activity,ACTIVITY,account_88,1,1
2026-01-02,move_deal_stage,PIPELINE,account_30,1,1
2026-01-02,move_deal_stage,PIPELINE,account_77,3,1
2026-01-02,user_login,AUTH,account_77,1,1
2026-01-02,view_dashboard,OTHER,account_42,1,1
2026-01-02,view_dashboard,OTHER,account_77,2,1
2026-01-03,ViewDashboard,OTHER,account_87,1,1
2026-01-03,create_deal,PIPELINE,account_28,1,1
2026-01-03,create_deal,PIPELINE,account_68,2,1
2026-01-03,create_deal,PIPELINE,account_87,1,1
2026-01-03,enable_automation,AUTOMATION,account_14,1,1
2026-01-03,enable_automation,AUTOMATION,account_28,1,1
2026-01-03,enable_automation,AUTOMATION,account_68,1,1
2026-01-03,enable_automation,AUTOMATION,account_71,1,1
2026-01-03,enable_automation,AUTOMATION,account_87,1,1
2026-01-03,invite_user,OTHER,account_68,1,1
2026-01-03,invite_user,OTHER,account_87,1,1
2026-01-03,log_activity,ACTIVITY,account_14,2,1
2026-01-03,log_activity,ACTIVITY,account_28,2,1
2026-01-03,log_activity,ACTIVITY,account_57,1,1
2026-01-03,log_activity,ACTIVITY,account_71,2,1
2026-01-03,log_activity,ACTIVITY,account_87,1,1
2026-01-03,login,AUTH,account_71,1,1
2026-01-03,move_deal_stage,PIPELINE,account_14,3,1
2026-01-03,move_deal_stage,PIPELINE,account_28,2,1
2026-01-03,move_deal_stage,PIPELINE,account_68,4,1
2026-01-03,move_deal_stage,PIPELINE,account_71,2,1
2026-01-03,move_deal_stage,PIPELINE,account_87,1,1
2026-01-03,view_dashboard,OTHER,account_14,1,1
2026-01-04,create_deal,PIPELINE,account_60,1,1
2026-01-04,create_deal,PIPELINE,account_67,3,1
2026-01-04,enable_automation,AUTOMATION,account_10,2,1
2026-01-04,enable_automation,AUTOMATION,account_60,1,1
2026-01-04,enable_automation,AUTOMATION,account_67,3,1
2026-01-04,invite_user,OTHER,account_10,1,1
2026-01-04,invite_user,OTHER,account_67,2,1
2026-01-04,invite_user,OTHER,account_77,1,1
2026-01-04,log_activity,ACTIVITY,account_10,1,1
2026-01-04,log_activity,ACTIVITY,account_60,1,1
2026-01-04,log_activity,ACTIVITY,account_67,6,1
2026-01-04,login,AUTH,account_60,1,1
2026-01-04,move_deal_stage,PIPELINE,account_60,1,1
2026-01-04,move_deal_stage,PIPELINE,account_67,3,1
2026-01-04,move_deal_stage,PIPELINE,account_77,1,1
2026-01-04,view_dashboard,OTHER,account_67,1,1
2026-01-05,create_deal,PIPELINE,account_100,1,1
2026-01-05,create_deal,PIPELINE,account_101,1,1
2026-01-05,create_deal,PIPELINE,account_119,1,1
2026-01-05,create_deal,PIPELINE,account_12,2,1
2026-01-05,enable_automation,AUTOMATION,account_100,1,1
2026-01-05,enable_automation,AUTOMATION,account_101,2,1
2026-01-05,enable_automation,AUTOMATION,account_12,3,1
2026-01-05,enable_automation,AUTOMATION,account_15,2,1
2026-01-05,invite_user,OTHER,account_100,1,1
2026-01-05,invite_user,OTHER,account_119,1,1
2026-01-05,log_activity,ACTIVITY,account_101,2,1
2026-01-05,log_activity,ACTIVITY,account_119,1,1
2026-01-05,log_activity,ACTIVITY,account_12,2,1
2026-01-05,log_activity,ACTIVITY,account_15,3,1
2026-01-05,login,AUTH,account_100,1,1
2026-01-05,login,AUTH,account_12,1,1
2026-01-05,login,AUTH,account_15,1,1
2026-01-05,move_deal_stage,PIPELINE,account_101,1,1
2026-01-05,move_deal_stage,PIPELINE,account_119,1,1
2026-01-05,move_deal_stage,PIPELINE,account_15,1,1
2026-01-05,view_dashboard,OTHER,account_119,2,1
2026-01-05,view_dashboard,OTHER,account_12,1,1
2026-01-05,view_dashboard,OTHER,account_15,1,1
2026-01-06,create_deal,PIPELINE,account_117,1,1
2026-01-06,create_deal,PIPELINE,account_64,3,1
2026-01-06,enable_automation,AUTOMATION,account_64,1,1
2026-01-06,log_activity,ACTIVITY,account_117,2,1
2026-01-06,log_activity,ACTIVITY,account_64,2,1
2026-01-06,login,AUTH,account_64,1,1
